Ano,TD_Nacional_%,TO_Nacional_%,TP_Nacional_%,TD_Antofagasta_%,Brecha_pp
2010,8.22,55.21,60.16,7.56,-0.66
2011,7.32,56.97,61.47,6.27,-1.05
2012,6.58,57.43,61.48,5.3,-1.28
2013,6.13,57.82,61.6,5.94,-0.19
2014,6.42,57.9,61.87,6.62,0.2
2015,6.37,58.06,62.01,6.77,0.4
2016,6.68,58,62.15,8.15,1.47
2017,6.97,58.32,62.69,8.66,1.69
2018,7.36,58.35,62.98,8.71,1.35
2019,7.24,58.27,62.82,8.02,0.78
2020,10.7,49.98,55.97,11.32,0.62
2021,8.85,52.15,57.21,9.53,0.68
2022,7.85,55.03,59.71,8.14,0.29
2023,8.67,55.87,61.17,8.19,-0.48
2024,8.47,56.74,61.99,8.36,-0.11
2025,8.56,56.76,62.08,6.84,-1.72
2026,8.79,56.84,62.32,6.74,-2.05
