ano,TD_Hombre_Nac_%,TD_Mujer_Nac_%,Brecha_Nac_pp,TD_Hombre_Antof_%,TD_Mujer_Antof_%,Brecha_Antof_pp
2010,7.18,9.8,2.62,7.14,8.3,1.16
2011,6.25,8.88,2.63,5.79,7.11,1.32
2012,5.56,8.06,2.5,4.66,6.46,1.8
2013,5.43,7.12,1.69,5.32,7.06,1.74
2014,6.02,6.98,0.96,6.52,6.78,0.26
2015,5.86,7.08,1.22,7.06,6.29,-0.77
2016,6.3,7.22,0.92,8.19,8.07,-0.12
2017,6.54,7.56,1.02,8.62,8.73,0.11
2018,6.75,8.18,1.43,8.04,9.7,1.66
2019,6.66,8.03,1.37,6.97,9.53,2.56
2020,10.54,10.94,0.4,11.48,11.1,-0.38
2021,8.63,9.16,0.53,10.02,8.8,-1.22
2022,7.42,8.42,1,7.81,8.62,0.81
2023,8.35,9.1,0.75,8.17,8.21,0.04
2024,7.87,9.24,1.37,7.71,9.26,1.55
2025,8.02,9.28,1.26,6.12,7.83,1.71
2026,7.99,9.82,1.83,5.55,8.38,2.83
